"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year","flyout_perc","groundout_perc","k_perc","bb_perc","obp","x1b_a","ops"
"1155","Hits-AB with runners ob","Nigel Cross","So","P","6-0","R/R",0,0,0,21.2,0,32,0,0,6,18,0,112,100,8,0,0,1,0,4,0,0,0,0,0,NA,16,24,0,0,0,6,0,102,0.313725490196078,597066,2025,0.6,0.4,0.160714285714286,0.0535714285714286,0.375,23,0.79656862745098
"1156","Hits-AB vs lhb","Nigel Cross","So","P","6-0","R/R",0,0,0,7,0,7,0,0,1,4,0,29,27,1,0,0,0,0,0,0,0,0,0,0,NA,12,4,0,0,0,1,0,28,0.25,597066,2025,0.25,0.75,0.137931034482759,0.0344827586206897,0.275862068965517,6,0.561576354679803
"1157","Hits-AB w2outs","Nigel Cross","So","P","6-0","R/R",0,0,0,0,0,36,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,36,Inf
"1158","Bases Empty","Nigel Cross","So","P","6-0","R/R",0,0,0,42.2,0,32,0,0,8,29,0,172,163,4,1,0,3,0,1,0,0,0,0,0,NA,48,49,0,0,0,11,0,163,0.196319018404908,597066,2025,0.505154639175258,0.494845360824742,0.168604651162791,0.0465116279069767,0.238372093023256,24,0.526715651305464
"1159","H-AB scorepos","Nigel Cross","So","P","6-0","R/R",0,0,0,12.2,0,20,0,0,2,12,0,64,57,6,0,0,1,0,3,0,0,0,0,0,NA,12,13,0,0,0,2,0,59,0.338983050847458,597066,2025,0.52,0.48,0.1875,0.03125,0.390625,13,0.882150423728814
"1160","H-AB scorepos2","Nigel Cross","So","P","6-0","R/R",0,0,0,8.1,0,15,0,0,2,8,0,45,41,5,0,0,1,0,2,0,0,0,0,0,NA,8,9,0,0,0,1,0,41,0.365853658536585,597066,2025,0.529411764705882,0.470588235294118,0.177777777777778,0.0444444444444444,0.422222222222222,9,0.98319783197832
"1161","H-AB runners2","Nigel Cross","So","P","6-0","R/R",0,0,0,11,0,24,0,0,3,10,0,65,59,7,0,0,1,0,3,0,0,0,0,0,NA,10,13,0,0,0,2,0,59,0.406779661016949,597066,2025,0.565217391304348,0.434782608695652,0.153846153846154,0.0461538461538462,0.461538461538462,16,1.03780964797914
"1162","H-AB bases loaded","Nigel Cross","So","P","6-0","R/R",0,0,0,1.2,0,1,0,0,0,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,NA,1,2,0,0,0,0,0,6,0.166666666666667,597066,2025,0.666666666666667,0.333333333333333,0.333333333333333,0,0.166666666666667,1,0.333333333333333
"1163","Hits-AB vs rhb","Nigel Cross","So","P","6-0","R/R",0,0,0,57.1,0,57,0,0,13,43,0,255,236,11,1,0,4,0,5,0,0,0,0,0,NA,52,69,0,0,0,16,0,237,0.240506329113924,597066,2025,0.570247933884298,0.429752066115702,0.168627450980392,0.0509803921568627,0.294117647058824,41,0.640109208240258
"1164","14","Stuart Camp","Fr","P","6-3","R/R",1,0,18,1,0,2,2,2,3,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,32,1,2,0,0,0,0,0,5,0.4,597066,2025,0.666666666666667,0.333333333333333,0,0.375,0.625,2,1.025
"1165","Succ-Opp against Leadoff Batter","Stuart Camp","Fr","P","6-3","R/R",0,0,0,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,1,0,597066,2025,0,1,0,0,0,0,0
"1166","Hits-AB with runners ob","Stuart Camp","Fr","P","6-3","R/R",0,0,0,0.1,0,1,0,0,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,2,0.5,597066,2025,1,0,0,0.6,0.8,1,1.3
"1167","Hits-AB vs lhb","Stuart Camp","Fr","P","6-3","R/R",0,0,0,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,597066,2025,1,0,0,0,0,0,0
"1168","Hits-AB w2outs","Stuart Camp","Fr","P","6-3","R/R",0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,2,Inf
"1169","Bases Empty","Stuart Camp","Fr","P","6-3","R/R",0,0,0,0.2,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,3,0.333333333333333,597066,2025,0.5,0.5,0,0,0.333333333333333,1,0.666666666666667
"1170","H-AB scorepos","Stuart Camp","Fr","P","6-3","R/R",0,0,0,0.1,0,1,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,2,0.5,597066,2025,1,0,0,0.5,0.75,1,1.25
"1171","H-AB scorepos2","Stuart Camp","Fr","P","6-3","R/R",0,0,0,0.1,0,1,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,2,0.5,597066,2025,1,0,0,0.5,0.75,1,1.25
"1172","H-AB runners2","Stuart Camp","Fr","P","6-3","R/R",0,0,0,0.1,0,1,0,0,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,2,0.5,597066,2025,1,0,0,0.6,0.8,1,1.3
"1173","H-AB bases loaded","Stuart Camp","Fr","P","6-3","R/R",0,0,0,0.1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,597066,2025,1,0,0,0.5,0.5,0,0.5
"1174","Hits-AB vs rhb","Stuart Camp","Fr","P","6-3","R/R",0,0,0,0.2,0,2,0,0,3,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,4,0.5,597066,2025,0.5,0.5,0,0.428571428571429,0.714285714285714,2,1.21428571428571
"1175","20","Luke Ryan","Fr","P","6-1","R/R",8,0,2.35,7.2,0,6,2,2,4,7,0,31,27,0,0,0,0,0,0,0,0,0,0,0,114,6,8,0,0,0,4,0,27,0.222222222222222,597066,2025,0.571428571428571,0.428571428571429,0.225806451612903,0.129032258064516,0.32258064516129,6,0.544802867383513
"1176","Succ-Opp against Leadoff Batter","Luke Ryan","Fr","P","6-1","R/R",0,0,0,1.2,0,0,0,0,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,NA,0,3,0,0,0,1,0,5,0,597066,2025,1,0,0.4,0,0,0,0
"1177","Hits-AB with runners ob","Luke Ryan","Fr","P","6-1","R/R",0,0,0,4.2,0,5,0,0,2,4,0,19,17,0,0,0,0,0,0,0,0,0,0,0,NA,4,4,0,0,0,2,0,17,0.294117647058824,597066,2025,0.5,0.5,0.210526315789474,0.105263157894737,0.368421052631579,5,0.662538699690402
"1178","Hits-AB vs lhb","Luke Ryan","Fr","P","6-1","R/R",0,0,0,0.2,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,3,0.333333333333333,597066,2025,0.5,0.5,0,0,0.333333333333333,1,0.666666666666667
"1179","Hits-AB w2outs","Luke Ryan","Fr","P","6-1","R/R",0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,2,Inf
"1180","Bases Empty","Luke Ryan","Fr","P","6-1","R/R",0,0,0,3,0,1,0,0,2,3,0,12,10,0,0,0,0,0,0,0,0,0,0,0,NA,2,4,0,0,0,2,0,10,0.1,597066,2025,0.666666666666667,0.333333333333333,0.25,0.166666666666667,0.25,1,0.35
"1181","H-AB scorepos","Luke Ryan","Fr","P","6-1","R/R",0,0,0,3.1,0,3,0,0,2,4,0,14,12,0,0,0,0,0,0,0,0,0,0,0,NA,3,2,0,0,0,2,0,12,0.25,597066,2025,0.4,0.6,0.285714285714286,0.142857142857143,0.357142857142857,3,0.607142857142857
"1182","H-AB scorepos2","Luke Ryan","Fr","P","6-1","R/R",0,0,0,1.2,0,0,0,0,2,3,0,7,5,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,2,0,5,0,597066,2025,0.5,0.5,0.428571428571429,0.285714285714286,0.285714285714286,0,0.285714285714286
"1183","H-AB runners2","Luke Ryan","Fr","P","6-1","R/R",0,0,0,1.2,0,2,0,0,2,3,0,9,7,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,2,0,7,0.285714285714286,597066,2025,0.5,0.5,0.333333333333333,0.222222222222222,0.444444444444444,2,0.73015873015873
"1184","H-AB bases loaded","Luke Ryan","Fr","P","6-1","R/R",0,0,0,0.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,1,0,597066,2025,0,1,0,0,0,0,0
"1185","Hits-AB vs rhb","Luke Ryan","Fr","P","6-1","R/R",0,0,0,6.2,0,5,0,0,4,7,0,27,23,0,0,0,0,0,0,0,0,0,0,0,NA,4,7,0,0,0,4,0,23,0.217391304347826,597066,2025,0.636363636363636,0.363636363636364,0.259259259259259,0.148148148148148,0.333333333333333,5,0.550724637681159
"1186","28","Nick Tiani","Fr","INF","6-0","R/R",3,0,0,2.2,0,3,0,0,2,3,0,12,10,0,0,0,0,1,0,0,0,0,0,0,38,1,3,1,0,0,0,0,10,0.3,597066,2025,0.75,0.25,0.25,0.166666666666667,0.416666666666667,3,0.716666666666667
"1187","Succ-Opp against Leadoff Batter","Nick Tiani","Fr","INF","6-0","R/R",0,0,0,0.1,0,1,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0.5,597066,2025,NA,NA,0.333333333333333,0.333333333333333,0.666666666666667,1,1.16666666666667
"1188","Hits-AB with runners ob","Nick Tiani","Fr","INF","6-0","R/R",0,0,0,1.2,0,2,0,0,1,2,0,7,6,0,0,0,0,1,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,6,0.333333333333333,597066,2025,1,0,0.285714285714286,0.142857142857143,0.428571428571429,2,0.761904761904762
"1189","Hits-AB vs lhb","Nick Tiani","Fr","INF","6-0","R/R",0,0,0,0.1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,597066,2025,1,0,0,0.5,0.5,0,0.5
"1190","Hits-AB w2outs","Nick Tiani","Fr","INF","6-0","R/R",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,597066,2025,NA,NA,NA,NA,NA,0,NA
"1191","Bases Empty","Nick Tiani","Fr","INF","6-0","R/R",0,0,0,1,0,1,0,0,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,4,0.25,597066,2025,0.5,0.5,0.2,0.2,0.4,1,0.65
"1192","H-AB scorepos","Nick Tiani","Fr","INF","6-0","R/R",0,0,0,1,0,1,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,3,0.333333333333333,597066,2025,1,0,0.25,0.25,0.5,1,0.833333333333333
"1193","H-AB scorepos2","Nick Tiani","Fr","INF","6-0","R/R",0,0,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,597066,2025,NA,NA,0,1,1,0,NA
"1194","H-AB runners2","Nick Tiani","Fr","INF","6-0","R/R",0,0,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,597066,2025,NA,NA,0,1,1,0,NA
"1195","H-AB bases loaded","Nick Tiani","Fr","INF","6-0","R/R",0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,2,0,597066,2025,1,0,0.5,0,0,0,0
"1196","Hits-AB vs rhb","Nick Tiani","Fr","INF","6-0","R/R",0,0,0,2.1,0,3,0,0,1,3,0,10,9,0,0,0,0,1,0,0,0,0,0,0,NA,1,2,0,0,0,0,0,9,0.333333333333333,597066,2025,0.666666666666667,0.333333333333333,0.3,0.1,0.4,3,0.733333333333333
"1197","31","Tucker Boys","Fr","P","6-1","R/R",4,0,18.9,3.1,0,12,8,7,3,3,0,26,22,3,1,0,0,0,1,0,0,0,0,0,102,1,6,0,0,0,1,0,22,0.545454545454545,597066,2025,0.857142857142857,0.142857142857143,0.115384615384615,0.115384615384615,0.615384615384615,8,1.38811188811189
"1198","Succ-Opp against Leadoff Batter","Tucker Boys","Fr","P","6-1","R/R",0,0,0,0,0,2,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,1,597066,2025,NA,NA,0,0.333333333333333,1,2,2
"1199","Hits-AB with runners ob","Tucker Boys","Fr","P","6-1","R/R",0,0,0,3.1,0,10,0,0,2,3,0,23,20,3,1,0,0,0,1,0,0,0,0,0,NA,1,6,0,0,0,1,0,20,0.5,597066,2025,0.857142857142857,0.142857142857143,0.130434782608696,0.0869565217391304,0.565217391304348,6,1.31521739130435
"1200","Hits-AB vs lhb","Tucker Boys","Fr","P","6-1","R/R",0,0,0,0.2,0,3,0,0,0,1,0,5,5,1,1,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,1,0,5,0.6,597066,2025,0,1,0.2,0,0.6,1,1.8
"1201","Hits-AB w2outs","Tucker Boys","Fr","P","6-1","R/R",0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,3,Inf
"1202","Bases Empty","Tucker Boys","Fr","P","6-1","R/R",0,0,0,0,0,2,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,1,597066,2025,NA,NA,0,0.333333333333333,1,2,2
"1203","H-AB scorepos","Tucker Boys","Fr","P","6-1","R/R",0,0,0,2.1,0,6,0,0,2,3,0,16,13,1,0,0,0,0,1,0,0,0,0,0,NA,1,3,0,0,0,1,0,13,0.461538461538462,597066,2025,0.75,0.25,0.1875,0.125,0.5625,5,1.10096153846154
"1204","H-AB scorepos2","Tucker Boys","Fr","P","6-1","R/R",0,0,0,1,0,2,0,0,1,1,0,7,5,0,0,0,0,0,1,0,0,0,0,0,NA,0,2,0,0,0,0,0,5,0.4,597066,2025,1,0,0.142857142857143,0.142857142857143,0.571428571428571,2,0.971428571428571
"1205","H-AB runners2","Tucker Boys","Fr","P","6-1","R/R",0,0,0,1.1,0,3,0,0,1,1,0,9,7,0,1,0,0,0,1,0,0,0,0,0,NA,0,3,0,0,0,0,0,7,0.428571428571429,597066,2025,1,0,0.111111111111111,0.111111111111111,0.555555555555556,2,1.26984126984127
"1206","H-AB bases loaded","Tucker Boys","Fr","P","6-1","R/R",0,0,0,0.1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,2,0.5,597066,2025,1,0,0,0,0.5,1,1
"1207","Hits-AB vs rhb","Tucker Boys","Fr","P","6-1","R/R",0,0,0,2.2,0,7,0,0,3,2,0,19,15,2,0,0,0,0,1,0,0,0,0,0,NA,0,6,0,0,0,0,0,15,0.466666666666667,597066,2025,1,0,0.105263157894737,0.157894736842105,0.578947368421053,5,1.17894736842105
"1208","34","Jack Titley","Fr","P","5-9","R/R",4,1,16.2,5,0,13,10,9,5,2,0,36,29,2,2,1,0,1,1,0,0,0,0,1,127,5,8,0,1,0,1,0,29,0.448275862068966,597066,2025,0.615384615384615,0.384615384615385,0.0555555555555556,0.138888888888889,0.527777777777778,9,1.18295019157088
"1209","Succ-Opp against Leadoff Batter","Jack Titley","Fr","P","5-9","R/R",0,0,0,1,0,2,0,0,1,1,0,7,5,0,0,0,0,0,1,0,0,0,0,0,NA,0,2,0,0,0,1,0,5,0.4,597066,2025,1,0,0.142857142857143,0.142857142857143,0.571428571428571,2,0.971428571428571
"1210","Hits-AB with runners ob","Jack Titley","Fr","P","5-9","R/R",0,0,0,3,0,10,0,0,4,1,0,24,20,2,1,1,0,1,0,0,0,0,0,0,NA,5,3,0,0,0,0,0,20,0.5,597066,2025,0.375,0.625,0.0416666666666667,0.166666666666667,0.583333333333333,7,1.28333333333333
"1211","Hits-AB vs lhb","Jack Titley","Fr","P","5-9","R/R",0,0,0,0.2,0,4,0,0,2,0,0,8,6,0,0,0,0,1,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,6,0.666666666666667,597066,2025,0.5,0.5,0,0.25,0.75,4,1.41666666666667
"1212","Hits-AB w2outs","Jack Titley","Fr","P","5-9","R/R",0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,4,Inf
"1213","Bases Empty","Jack Titley","Fr","P","5-9","R/R",0,0,0,2,0,3,0,0,1,1,0,12,10,0,1,0,0,0,1,0,0,0,0,0,NA,0,5,0,0,0,1,0,10,0.3,597066,2025,1,0,0.0833333333333333,0.0833333333333333,0.416666666666667,2,0.916666666666667
"1214","H-AB scorepos","Jack Titley","Fr","P","5-9","R/R",0,0,0,2,0,8,0,0,3,1,0,17,14,2,1,1,0,0,0,0,0,0,0,0,NA,3,2,0,0,0,0,0,14,0.571428571428571,597066,2025,0.4,0.6,0.0588235294117647,0.176470588235294,0.647058823529412,5,1.50420168067227
"1215","H-AB scorepos2","Jack Titley","Fr","P","5-9","R/R",0,0,0,1,0,3,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,0,0,6,0.5,597066,2025,0.333333333333333,0.666666666666667,0,0,0.5,2,1.16666666666667
"1216","H-AB runners2","Jack Titley","Fr","P","5-9","R/R",0,0,0,1.1,0,4,0,0,0,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,8,0.5,597066,2025,0.5,0.5,0,0,0.5,3,1.125
"1217","H-AB bases loaded","Jack Titley","Fr","P","5-9","R/R",0,0,0,0.2,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,2,0,597066,2025,0.5,0.5,0,0,0,0,0
"1218","Hits-AB vs rhb","Jack Titley","Fr","P","5-9","R/R",0,0,0,4.1,0,9,0,0,3,2,0,28,24,2,2,1,0,0,1,0,0,0,0,0,NA,4,7,0,0,0,1,0,24,0.375,597066,2025,0.636363636363636,0.363636363636364,0.0714285714285714,0.107142857142857,0.464285714285714,5,1.08928571428571
"1219","36","Ryan Chenard","Fr","INF","6-5","R/R",7,0,18,5,0,5,10,10,7,3,0,29,17,0,0,2,1,2,3,1,0,0,1,1,107,4,7,0,0,0,1,0,16,0.3125,597066,2025,0.636363636363636,0.363636363636364,0.103448275862069,0.241379310344828,0.555555555555556,4,1.05555555555556
"1220","Succ-Opp against Leadoff Batter","Ryan Chenard","Fr","INF","6-5","R/R",0,0,0,1.1,0,0,0,0,2,1,0,7,4,0,0,0,0,0,1,0,0,0,0,0,NA,0,3,0,0,0,1,0,4,0,597066,2025,1,0,0.142857142857143,0.285714285714286,0.428571428571429,0,0.428571428571429
"1221","Hits-AB with runners ob","Ryan Chenard","Fr","INF","6-5","R/R",0,0,0,2,0,3,0,0,5,0,0,14,7,0,0,1,1,2,1,1,0,0,0,0,NA,3,2,0,0,0,0,0,7,0.428571428571429,597066,2025,0.4,0.6,0,0.357142857142857,0.692307692307692,2,1.54945054945055
"1222","Hits-AB vs lhb","Ryan Chenard","Fr","INF","6-5","R/R",0,0,0,1,0,2,0,0,1,0,0,5,4,0,0,1,1,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,4,0.5,597066,2025,0.5,0.5,0,0.2,0.6,1,1.85
"1223","Hits-AB w2outs","Ryan Chenard","Fr","INF","6-5","R/R",0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,2,Inf
"1224","Bases Empty","Ryan Chenard","Fr","INF","6-5","R/R",0,0,0,3,0,2,0,0,2,3,0,15,11,0,0,0,0,0,2,0,0,0,0,0,NA,1,5,0,0,0,1,0,11,0.181818181818182,597066,2025,0.833333333333333,0.166666666666667,0.2,0.133333333333333,0.4,2,0.581818181818182
"1225","H-AB scorepos","Ryan Chenard","Fr","INF","6-5","R/R",0,0,0,1.2,0,3,0,0,5,0,0,12,7,0,0,1,1,1,0,1,0,0,0,0,NA,2,2,0,0,0,0,0,6,0.5,597066,2025,0.5,0.5,0,0.416666666666667,0.727272727272727,2,1.72727272727273
"1226","H-AB scorepos2","Ryan Chenard","Fr","INF","6-5","R/R",0,0,0,0.1,0,1,0,0,1,0,0,3,2,0,0,1,1,0,0,1,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,597066,2025,1,0,0,0.333333333333333,1,0,5
"1227","H-AB runners2","Ryan Chenard","Fr","INF","6-5","R/R",0,0,0,0.1,0,1,0,0,1,0,0,3,2,0,0,1,1,0,0,1,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,597066,2025,1,0,0,0.333333333333333,1,0,5
"1228","H-AB bases loaded","Ryan Chenard","Fr","INF","6-5","R/R",0,0,0,0.1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,2,0.5,597066,2025,1,0,0,0,0.5,1,1
"1229","Hits-AB vs rhb","Ryan Chenard","Fr","INF","6-5","R/R",0,0,0,4,0,3,0,0,6,3,0,24,14,0,0,0,0,2,3,1,0,0,0,0,NA,3,6,0,0,0,1,0,14,0.214285714285714,597066,2025,0.666666666666667,0.333333333333333,0.125,0.25,0.521739130434783,3,0.736024844720497
"1230","37","Josh Turcotte","Fr","INF","5-9","L/R",1,0,0,1,0,1,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,4,0.25,597066,2025,1,0,0,0,0.25,1,0.5
"1231","Succ-Opp against Leadoff Batter","Josh Turcotte","Fr","INF","5-9","L/R",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,597066,2025,NA,NA,0,0,1,1,2
"1232","Hits-AB with runners ob","Josh Turcotte","Fr","INF","5-9","L/R",0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,NA,0,3,0,0,0,0,0,3,0,597066,2025,1,0,0,0,0,0,0
"1233","Hits-AB vs lhb","Josh Turcotte","Fr","INF","5-9","L/R",0,0,0,0.1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,2,0.5,597066,2025,1,0,0,0,0.5,1,1
"1234","Hits-AB w2outs","Josh Turcotte","Fr","INF","5-9","L/R",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,597066,2025,NA,NA,NA,NA,NA,0,NA
"1235","Bases Empty","Josh Turcotte","Fr","INF","5-9","L/R",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,597066,2025,NA,NA,0,0,1,1,2
"1236","H-AB scorepos","Josh Turcotte","Fr","INF","5-9","L/R",0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,3,0,0,0,0,0,3,0,597066,2025,1,0,0,0,0,0,0
"1237","H-AB scorepos2","Josh Turcotte","Fr","INF","5-9","L/R",0,0,0,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,597066,2025,1,0,0,0,0,0,0
"1238","H-AB runners2","Josh Turcotte","Fr","INF","5-9","L/R",0,0,0,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,597066,2025,1,0,0,0,0,0,0
"1239","Hits-AB vs rhb","Josh Turcotte","Fr","INF","5-9","L/R",0,0,0,0.2,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,2,0,597066,2025,1,0,0,0,0,0,0
"1240","7","Matt Ferrara","Sr","P","5-9","R/R",15,5,4.1,37.1,0,46,22,17,14,32,0,179,155,14,1,0,0,3,4,0,0,0,3,3,580,37,39,2,3,0,7,2,155,0.296774193548387,597066,2025,0.513157894736842,0.486842105263158,0.17877094972067,0.0782122905027933,0.363636363636364,31,0.763636363636364
"1241","Succ-Opp against Leadoff Batter","Matt Ferrara","Sr","P","5-9","R/R",0,0,0,7,0,10,0,0,3,5,0,36,33,2,1,0,0,0,0,0,0,0,0,0,NA,7,10,0,0,0,1,0,33,0.303030303030303,597066,2025,0.588235294117647,0.411764705882353,0.138888888888889,0.0833333333333333,0.361111111111111,7,0.785353535353535
"1242","Hits-AB with runners ob","Matt Ferrara","Sr","P","5-9","R/R",0,0,0,24,0,27,0,0,6,19,0,109,96,9,0,0,0,3,4,0,0,0,0,0,NA,23,23,0,0,0,5,0,99,0.272727272727273,597066,2025,0.5,0.5,0.174311926605505,0.055045871559633,0.339449541284404,18,0.703085904920767
"1243","Hits-AB vs lhb","Matt Ferrara","Sr","P","5-9","R/R",0,0,0,6,0,7,0,0,6,6,0,31,25,2,0,0,0,1,0,0,0,0,0,0,NA,7,5,0,0,0,1,0,25,0.28,597066,2025,0.416666666666667,0.583333333333333,0.193548387096774,0.193548387096774,0.419354838709677,5,0.779354838709677
"1244","Hits-AB w2outs","Matt Ferrara","Sr","P","5-9","R/R",0,0,0,0,0,14,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,14,Inf
"1245","Bases Empty","Matt Ferrara","Sr","P","5-9","R/R",0,0,0,13.1,0,19,0,0,8,13,0,72,64,5,1,0,0,0,0,0,0,0,0,0,NA,12,16,0,0,0,2,0,64,0.296875,597066,2025,0.571428571428571,0.428571428571429,0.180555555555556,0.111111111111111,0.375,13,0.78125
"1246","H-AB scorepos","Matt Ferrara","Sr","P","5-9","R/R",0,0,0,19.1,0,18,0,0,5,17,0,83,74,8,0,0,0,1,2,0,0,0,0,0,NA,18,19,0,0,0,4,0,76,0.236842105263158,597066,2025,0.513513513513513,0.486486486486487,0.204819277108434,0.0602409638554217,0.301204819277108,10,0.643310082435003
"1247","H-AB scorepos2","Matt Ferrara","Sr","P","5-9","R/R",0,0,0,8.2,0,6,0,0,1,8,0,35,32,3,0,0,0,1,2,0,0,0,0,0,NA,6,10,0,0,0,1,0,32,0.1875,597066,2025,0.625,0.375,0.228571428571429,0.0285714285714286,0.257142857142857,3,0.538392857142857
"1248","H-AB runners2","Matt Ferrara","Sr","P","5-9","R/R",0,0,0,10.1,0,8,0,0,1,8,0,42,39,3,0,0,0,2,2,0,0,0,0,0,NA,7,13,0,0,0,1,0,39,0.205128205128205,597066,2025,0.65,0.35,0.19047619047619,0.0238095238095238,0.261904761904762,5,0.543956043956044
